Price,Close,High,Low,Open,Volume
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F
Datetime,,,,,
2025-06-03 05:00:00+00:00,21464.5,21471.75,21451.75,21452.5,2595
2025-06-03 06:00:00+00:00,21470.0,21477.0,21438.25,21464.25,4287
2025-06-03 07:00:00+00:00,21438.75,21481.5,21404.5,21469.0,8883
2025-06-03 08:00:00+00:00,21443.5,21448.5,21399.25,21439.75,6670
2025-06-03 09:00:00+00:00,21451.0,21465.0,21431.0,21443.25,5114
2025-06-03 10:00:00+00:00,21494.0,21494.25,21436.25,21451.0,6187
2025-06-03 11:00:00+00:00,21527.25,21535.75,21484.0,21495.0,8151
2025-06-03 12:00:00+00:00,21534.5,21543.5,21503.0,21527.75,10512
2025-06-03 13:00:00+00:00,21594.75,21606.0,21509.75,21535.0,53829
2025-06-03 14:00:00+00:00,21661.0,21664.0,21557.5,21594.75,62230
2025-06-03 15:00:00+00:00,21684.5,21688.25,21652.5,21661.0,44496
2025-06-03 16:00:00+00:00,21737.75,21747.75,21675.25,21684.5,35421
2025-06-03 17:00:00+00:00,21717.75,21759.75,21715.75,21738.25,31566
2025-06-03 18:00:00+00:00,21710.75,21721.75,21635.75,21718.25,45951
2025-06-03 19:00:00+00:00,21704.25,21725.75,21665.25,21710.75,50570
2025-06-03 20:00:00+00:00,21688.0,21706.25,21666.25,21704.25,15338
2025-06-03 22:00:00+00:00,21709.5,21721.5,21684.0,21688.25,0
2025-06-03 23:00:00+00:00,21705.0,21719.25,21690.25,21709.75,3640
2025-06-04 00:00:00+00:00,21698.5,21727.0,21691.75,21705.25,4133
2025-06-04 01:00:00+00:00,21681.25,21710.75,21672.0,21700.0,4288
2025-06-04 02:00:00+00:00,21673.25,21687.0,21667.0,21682.5,3771
2025-06-04 03:00:00+00:00,21680.0,21683.25,21670.0,21673.25,1807
2025-06-04 04:00:00+00:00,21678.0,21696.25,21676.0,21677.75,2062
2025-06-04 05:00:00+00:00,21695.0,21695.5,21673.5,21678.0,1937
2025-06-04 06:00:00+00:00,21691.0,21715.25,21680.25,21695.25,4539
2025-06-04 07:00:00+00:00,21720.75,21722.25,21674.5,21691.75,5042
2025-06-04 08:00:00+00:00,21718.0,21748.75,21713.75,21720.5,7200
2025-06-04 09:00:00+00:00,21736.25,21745.75,21717.5,21718.0,4761
2025-06-04 10:00:00+00:00,21750.25,21763.0,21719.75,21736.5,6184
2025-06-04 11:00:00+00:00,21747.0,21756.0,21727.25,21749.25,5043
2025-06-04 12:00:00+00:00,21708.5,21767.0,21655.5,21748.0,21284
2025-06-04 13:00:00+00:00,21754.0,21790.5,21699.5,21709.5,51589
2025-06-04 14:00:00+00:00,21761.0,21764.25,21641.0,21746.0,73463
2025-06-04 15:00:00+00:00,21754.25,21784.5,21731.75,21761.25,43105
2025-06-04 16:00:00+00:00,21754.25,21758.0,21706.0,21753.75,35025
2025-06-04 17:00:00+00:00,21786.0,21790.75,21752.75,21754.25,26771
2025-06-04 18:00:00+00:00,21782.75,21803.0,21771.75,21785.75,30587
2025-06-04 19:00:00+00:00,21757.5,21798.25,21748.25,21783.0,43425
2025-06-04 20:00:00+00:00,21748.0,21764.75,21740.25,21757.5,14541
2025-06-04 22:00:00+00:00,21750.75,21772.5,21731.75,21744.75,0
2025-06-04 23:00:00+00:00,21741.0,21759.0,21737.0,21751.0,2438
2025-06-05 00:00:00+00:00,21744.5,21766.75,21738.25,21742.0,3092
2025-06-05 01:00:00+00:00,21756.75,21757.25,21730.75,21746.0,3237
2025-06-05 02:00:00+00:00,21745.25,21758.75,21736.75,21757.0,3492
